Unlimited Blocks Ч WordPress Gutenberg Blocks and WooCommerce Blocks;https://ru.wordpress.org/plugins/unlimited-blocks/;Unlimited Blocks is the editor blocks that are used to create content layouts that youЕ;6.1.1
Elegant Blocks Ч Amazing Gutenberg Blocks;https://ru.wordpress.org/plugins/elegant-blocks/;A collection of beautiful and ready-to-use blocks for the new WordPress editor;5.3.14
Conditional Blocks Ч Content Visibility Control for Full Site Editing;https://ru.wordpress.org/plugins/conditional-blocks/;Conditionally show or hide ANY WordPress blocks! Change the visibility of content block and widgetsЕ;6.1.1
Product Slider Block for WooCommerce;https://ru.wordpress.org/plugins/woo-product-slider-block/;Simple slider that slides your woocommerce Products;5.2.17
Enhanced AJAX Add to Cart for WooCommerce;https://ru.wordpress.org/plugins/enhanced-ajax-add-to-cart-for-woocommerce/;Add variable & other products to cart using a lightweight, smart, and flexible Add toЕ;5.7.8
Image Gallery Block;https://ru.wordpress.org/plugins/image-gallery-block/;ѕроизведите впечатление на свою аудиторию красивой галереей изображений с лайтбоксами.;6.0.3
Infobox;https://ru.wordpress.org/plugins/infobox/;Deliver your content beautifully to grab attention with an animated Infobox block.;6.1.1
Image Optimizer, Resizer and CDN Ч Sirv;https://ru.wordpress.org/plugins/sirv/;Serve perfectly optimized images from the fastest WordPress CDN plugin. Image hosting with deep imageЕ;6.1.1
Gosign Ч Gallery box Block;https://ru.wordpress.org/plugins/gosign-gallery-box-block/;Ѕлок дл€ создани€ галереи в редакторе блоков, опционально поддерживает предпросмотр изображений в Lightbox, Lightbox, быстроеЕ;6.0.3
Social Media Feed For Instagram Ч Social Feed;https://ru.wordpress.org/plugins/wp-instagram-feed-awplife/;"The ""Social Media Feed plugin for Instagram"" is a simple and elegant plugin for displayingЕ";6.1.1
Avatar Privacy;https://ru.wordpress.org/plugins/avatar-privacy/;ѕовысьте конфиденциальность ваших пользователей и посетителей с помощью граватара и локальных аватаров.;5.9.5
Editor Blocks for Gutenberg;https://ru.wordpress.org/plugins/editor-blocks/;A unique collection of Gutenberg blocks.;5.5.11
Builder Template Categories Ч for WordPress Page Builders;https://ru.wordpress.org/plugins/builder-template-categories/;Organize your Page Builder Templates in the WordPress Admin. Better overview, don't get lost. TimeЕ;5.3.14
Animated Blocks on Scroll;https://ru.wordpress.org/plugins/animated-blocks/;Add scroll based animations to WordPress Gutenberg blocks.;5.9.5
